/System/Library/Frameworks/Python.framework/Versions/2.6/bin/python2.6 /Users/no/TowersCorvallis/main.py
***** Running the Towers of Corvallis with the following settings
***** VERBOSE = 	False
***** MODE = 		TIMING
***** FILENAME = 	perms-3.txt
***** NMAX = 	500
***** BEAM WIDTH = 30
***** SEARCH FN = A_STAR
***** HEURISTIC FN = WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG
***** PROBLEM Size = 10


***** Testing Timing, overriding certain flags
Search Function 	 Beam Width 	 Heuristic 	 Problem Size	Failures	Avg Solution Depth 	 Avg Nodes Expanded 	 Avg Heuristic Eval Time 	 Avg Total Time	Max Solution Depth 	 Max Nodes Expanded 	 Max Heuristic Eval Time 	 Max Total Time	Min Solution Depth 	 Min Nodes Expanded 	 Min Heuristic Eval Time 	 Min Total Time
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	5 	20	191	0.0057365499998	0.78106985 	45	458	0.0141219999995	2.70541 	17	103	0.00279599999982	0.189442
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	15 	9	88	0.00304009999987	0.5327668 	54	488	0.017384999998	3.706474 	21	163	0.00485800000052	0.396141
BEAM	10	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	15 	7	75	0.00276825000011	0.35017985 	40	393	0.014875	2.085645 	23	168	0.00533300000097	0.443631
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	9.29999999698e-05	0.0036428 	7	8	0.000149999999962	0.00649999999996 	4	4	6.20000001277e-05	0.00181599999996
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.000134100000056	0.00644789999999 	10	15	0.000256999999806	0.013812 	4	4	6.00000000759e-05	0.00186600000001
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.000229599999992	0.0131223 	15	16	0.000382000000116	0.02375 	6	6	8.69999999509e-05	0.00320099999999
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.000344750000068	0.02170115 	18	28	0.000648000000183	0.0440589999999 	10	10	0.000210999999865	0.010125
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.000436999999926	0.0284692 	19	28	0.000695999999493	0.044093 	13	13	0.000283000000081	0.0168430000001
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	8	0 	19	25	0.000741949999971	0.0536842 	25	54	0.00184599999994	0.158542 	17	18	0.000465000000133	0.030822
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	9	0 	23	31	0.000975750000038	0.0767371 	28	57	0.0019420000001	0.18764 	18	19	0.000504999999976	0.032187
BEAM	15	MANHATTAN_DISTANCE_ALL_PEG	10	0 	26	40	0.00142029999994	0.118661 	34	81	0.00311799999969	0.279431 	23	23	0.000668000000132	0.048357
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3	0 	5	15	0.000156800000082	0.00736759999999 	7	22	0.000207000000273	0.010638 	4	9	0.000116000000276	0.00422299999997
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4	0 	7	49	0.000675499999963	0.04229025 	10	91	0.00110400000005	0.08684 	4	9	0.00016700000026	0.00491299999999
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5	4 	8	84	0.00155765	0.11643315 	12	154	0.00335300000017	0.267119 	6	30	0.000572999999747	0.0227
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6	4 	12	141	0.0030871	0.32512145 	30	447	0.0105799999994	1.919565 	11	93	0.00195400000001	0.123888
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7	5 	14	193	0.00499824999997	0.63054235 	28	476	0.0127829999997	2.304299 	15	148	0.00393099999968	0.312832
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	11 	10	137	0.00422025000004	0.5308175 	31	470	0.0133330000027	2.284664 	18	200	0.00631400000179	0.582159
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	14 	8	102	0.00345714999989	0.44476485 	30	403	0.0131359999983	1.941733 	21	252	0.00873499999807	0.866478
BEAM	15	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	18 	3	48	0.00196124999995	0.3120382 	36	491	0.0201799999982	3.127733 	34	483	0.0190450000008	3.113031
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	7.55999999228e-05	0.00317480000001 	7	8	9.99999998612e-05	0.00446899999997 	4	4	4.79999999925e-05	0.00151600000004
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.000129449999986	0.00622400000002 	10	15	0.000233999999864	0.011199 	4	4	4.70000001087e-05	0.00149500000009
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.000252600000005	0.01411135 	15	16	0.000390999999581	0.02122 	6	6	8.40000000153e-05	0.003468
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.000361799999888	0.022336 	18	28	0.000713000000019	0.043944 	10	10	0.000215000000026	0.011884
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.000426949999968	0.0279814 	19	28	0.000714000000016	0.048793 	13	13	0.000292999999374	0.015897
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	8	0 	19	25	0.000756900000016	0.0546509 	25	54	0.00184899999965	0.157085 	17	18	0.000484999999571	0.029417
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	9	0 	23	31	0.00098940000006	0.07797725 	28	57	0.00201500000003	0.194133 	18	19	0.000500999999872	0.0322259999999
BEAM	20	MANHATTAN_DISTANCE_ALL_PEG	10	0 	26	41	0.00152530000013	0.12646755 	34	86	0.00391700000023	0.338268 	23	23	0.000709000000484	0.057172
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3	0 	5	15	0.000156399999992	0.00734160000002 	7	22	0.000206999999705	0.0106500000001 	4	9	0.000116999999818	0.00420400000007
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4	0 	7	52	0.000735449999968	0.0466177 	10	110	0.00136900000018	0.113899 	4	9	0.000139000000217	0.00422600000002
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5	4 	8	102	0.00195900000001	0.1586453 	14	209	0.00459400000057	0.422666 	6	30	0.000629999999887	0.025188
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6	5 	10	155	0.00339659999991	0.33507805 	17	277	0.00579599999901	0.632486 	12	141	0.00304400000039	0.235363
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7	5 	14	239	0.00651610000033	0.8579268 	26	482	0.0150509999982	2.70815 	15	200	0.00553800000057	0.496645
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	10 	10	191	0.0058989999999	0.80484595 	24	484	0.014677000001	2.254212 	18	280	0.00917199999924	0.921951
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	9	16 	4	77	0.00272424999977	0.3619874 	26	469	0.0171479999984	2.55776 	19	289	0.0102669999999	1.064453
BEAM	20	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	10	18 	2	44	0.00178330000018	0.24523035 	26	464	0.0183080000019	2.462807 	26	432	0.0173580000016	2.4418
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	3	0 	5	6	7.00000000506e-05	0.00305879999996 	7	8	9.60000002124e-05	0.00444299999992 	4	4	4.59999998839e-05	0.00152500000002
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	4	0 	7	8	0.000121850000022	0.00590855 	10	15	0.000249000000167	0.0127309999999 	4	4	5.6000000086e-05	0.00167199999999
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	5	0 	11	12	0.000236300000063	0.0134053 	15	16	0.00038799999993	0.021572 	6	6	8.4000000129e-05	0.00330300000007
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	6	0 	14	16	0.000349500000095	0.02191175 	18	28	0.000599000000193	0.038229 	10	10	0.000213000000258	0.012121
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	7	0 	16	18	0.00042390000001	0.02790465 	19	28	0.000697000000059	0.047317 	13	13	0.000266999999894	0.0150649999999
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	8	0 	19	25	0.000720449999943	0.05246255 	25	54	0.00185400000009	0.162236 	17	18	0.000452000000109	0.028494
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	9	0 	23	31	0.00101360000003	0.0793065 	28	57	0.00215999999978	0.202932 	18	19	0.00051899999994	0.033746
BEAM	25	MANHATTAN_DISTANCE_ALL_PEG	10	0 	26	41	0.00144065000009	0.12267105 	34	91	0.00342300000091	0.313911 	23	23	0.00067299999921	0.049549
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	3	0 	5	15	0.000195999999937	0.00913959999996 	7	22	0.000247999999829	0.012617 	4	9	0.000128999999902	0.00468999999998
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	4	0 	7	54	0.000861849999802	0.0550688 	10	116	0.00157499999955	0.145493 	4	9	0.000155000000177	0.00453299999992
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	5	6 	7	105	0.00200379999994	0.18332905 	15	278	0.00517099999945	0.641641 	6	30	0.0006589999997	0.0255569999999
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	6	5 	10	195	0.00436240000006	0.49071495 	18	407	0.00875200000121	1.233543 	11	160	0.00345099999868	0.276582
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	7	8 	10	204	0.00555999999981	0.7195753 	23	463	0.0128600000002	2.201241 	15	243	0.00749800000062	0.766793
BEAM	25	WEIGHTED_NUM_DISCS_OUT_OF_PLACE_ALL_PEG	8	13 	6	134	0.00415014999981	0.54909945 	23	441	0.0131680000013	1.873588 	17	289	0.00930799999924	0.974138
